"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2021-03-30 09:38:36.520313","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=1 Ack=1 Win=8022 Len=0 TSval=3280795072 TSecr=4095776527"
"2","2021-03-30 09:38:36.539808","52.210.184.200","192.168.0.101","TCP","66","[TCP ACKed unseen segment] 443  >  58088 [ACK] Seq=1 Ack=2 Win=425 Len=0 TSval=4095791692 TSecr=3280779927"
"3","2021-03-30 09:38:37.020608","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"4","2021-03-30 09:38:37.042073","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"5","2021-03-30 09:38:37.042570","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=32 Ack=32 Win=1002 Len=0 TSval=2001353052 TSecr=914689024"
"6","2021-03-30 09:38:51.624422","192.168.0.101","52.210.184.200","TCP","66","[TCP Dup ACK 1#1] 58088  >  443 [ACK] Seq=1 Ack=1 Win=8022 Len=0 TSval=3280810176 TSecr=4095791692"
"7","2021-03-30 09:38:51.644168","52.210.184.200","192.168.0.101","TCP","66","[TCP Dup ACK 2#1] 443  >  58088 [ACK] Seq=1 Ack=2 Win=425 Len=0 TSval=4095806796 TSecr=3280779927"
"8","2021-03-30 09:38:52.136262","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=31 Ack=32 Win=1002 Len=0 TSval=2001368146 TSecr=914689024"
"9","2021-03-30 09:38:52.157316","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=32 Ack=32 Win=120 Len=0 TSval=914704139 TSecr=2001353052"
"10","2021-03-30 09:38:56.355391","192.168.0.101","52.210.184.200","TLSv1.2","97","[TCP Previous segment not captured] , Application Data"
"11","2021-03-30 09:38:56.375760","52.210.184.200","192.168.0.101","TLSv1.2","97","[TCP ACKed unseen segment] , Application Data"
"12","2021-03-30 09:38:56.376292","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=33 Ack=32 Win=8022 Len=0 TSval=3280814928 TSecr=4095811528"
"13","2021-03-30 09:39:07.240207","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=31 Ack=32 Win=1002 Len=0 TSval=2001383251 TSecr=914704139"
"14","2021-03-30 09:39:07.261495","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=32 Ack=32 Win=120 Len=0 TSval=914719243 TSecr=2001353052"
"15","2021-03-30 09:39:11.592211","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=32 Ack=32 Win=8022 Len=0 TSval=3280830145 TSecr=4095811528"
"16","2021-03-30 09:39:11.611805","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=32 Ack=33 Win=425 Len=0 TSval=4095826765 TSecr=3280814928"
"17","2021-03-30 09:39:12.020658","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"18","2021-03-30 09:39:12.042381","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"19","2021-03-30 09:39:12.042873","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=63 Ack=63 Win=1002 Len=0 TSval=2001388053 TSecr=914724024"
"20","2021-03-30 09:39:26.696224","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=32 Ack=32 Win=8022 Len=0 TSval=3280845249 TSecr=4095826765"
"21","2021-03-30 09:39:26.715570","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=32 Ack=33 Win=425 Len=0 TSval=4095841869 TSecr=3280814928"
"22","2021-03-30 09:39:27.208183","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=62 Ack=63 Win=1002 Len=0 TSval=2001403219 TSecr=914724024"
"23","2021-03-30 09:39:27.229539","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=63 Ack=63 Win=120 Len=0 TSval=914739211 TSecr=2001388053"
"24","2021-03-30 09:39:31.355219","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"25","2021-03-30 09:39:31.375601","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
"26","2021-03-30 09:39:31.376071","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=64 Ack=63 Win=8022 Len=0 TSval=3280849929 TSecr=4095846529"
"27","2021-03-30 09:39:42.312231","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=62 Ack=63 Win=1002 Len=0 TSval=2001418323 TSecr=914739211"
"28","2021-03-30 09:39:42.333497","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=63 Ack=63 Win=120 Len=0 TSval=914754315 TSecr=2001388053"
"29","2021-03-30 09:39:46.408188","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=63 Ack=63 Win=8022 Len=0 TSval=3280864961 TSecr=4095846529"
"30","2021-03-30 09:39:46.427802","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=63 Ack=64 Win=425 Len=0 TSval=4095861581 TSecr=3280849929"
"31","2021-03-30 09:39:47.020380","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"32","2021-03-30 09:39:47.042346","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"33","2021-03-30 09:39:47.042818","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=94 Ack=94 Win=1002 Len=0 TSval=2001423054 TSecr=914759024"
"34","2021-03-30 09:40:01.512092","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=63 Ack=63 Win=8022 Len=0 TSval=3280880066 TSecr=4095861581"
"35","2021-03-30 09:40:01.532498","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=63 Ack=64 Win=425 Len=0 TSval=4095876687 TSecr=3280849929"
"36","2021-03-30 09:40:02.280111","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=93 Ack=94 Win=1002 Len=0 TSval=2001438292 TSecr=914759024"
"37","2021-03-30 09:40:02.301564","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=94 Ack=94 Win=120 Len=0 TSval=914774284 TSecr=2001423054"
"38","2021-03-30 09:40:06.355124","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"39","2021-03-30 09:40:06.376140","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
"40","2021-03-30 09:40:06.376648","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=95 Ack=94 Win=8022 Len=0 TSval=3280884930 TSecr=4095881530"
"41","2021-03-30 09:40:17.384051","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=93 Ack=94 Win=1002 Len=0 TSval=2001453396 TSecr=914774284"
"42","2021-03-30 09:40:17.405265","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=94 Ack=94 Win=120 Len=0 TSval=914789388 TSecr=2001423054"
"43","2021-03-30 09:40:21.480064","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=94 Ack=94 Win=8022 Len=0 TSval=3280900034 TSecr=4095881530"
"44","2021-03-30 09:40:21.502411","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=94 Ack=95 Win=425 Len=0 TSval=4095896654 TSecr=3280884930"
"45","2021-03-30 09:40:22.020387","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"46","2021-03-30 09:40:22.042090","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"47","2021-03-30 09:40:22.042529","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=125 Ack=125 Win=1002 Len=0 TSval=2001458055 TSecr=914794024"
"48","2021-03-30 09:40:31.904018","192.168.0.101","52.210.184.200","TLSv1.2","863","Application Data"
"49","2021-03-30 09:40:31.909031","192.168.0.101","192.168.0.1","DNS","102","Standard query 0x8b8a A kinesis.eu-west-1.amazonaws.com OPT"
"50","2021-03-30 09:40:31.919405","192.168.0.1","192.168.0.101","DNS","118","Standard query response 0x8b8a A kinesis.eu-west-1.amazonaws.com A 99.80.34.167 OPT"
"51","2021-03-30 09:40:31.955249","52.210.184.200","192.168.0.101","TLSv1.2","99","Application Data"
"52","2021-03-30 09:40:31.955975","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=892 Ack=127 Win=8022 Len=0 TSval=3280910510 TSecr=4095907110"
"53","2021-03-30 09:40:31.960772","192.168.0.101","99.80.34.167","TCP","74","42636  >  443 [SYN] Seq=0 Win=65340 Len=0 MSS=1452 SACK_PERM TSval=806784320 TSecr=0 WS=64"
"54","2021-03-30 09:40:31.980757","99.80.34.167","192.168.0.101","TCP","74","443  >  42636 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1452 SACK_PERM TSval=244398038 TSecr=806784320 WS=256"
"55","2021-03-30 09:40:31.981419","192.168.0.101","99.80.34.167","TCP","66","42636  >  443 [ACK] Seq=1 Ack=1 Win=65344 Len=0 TSval=806784341 TSecr=244398038"
"56","2021-03-30 09:40:32.089230","192.168.0.101","99.80.34.167","TLSv1.2","296","Client Hello"
"57","2021-03-30 09:40:32.108846","99.80.34.167","192.168.0.101","TCP","66","443  >  42636 [ACK] Seq=1 Ack=231 Win=29952 Len=0 TSval=244398081 TSecr=806784448"
"58","2021-03-30 09:40:32.108877","99.80.34.167","192.168.0.101","TLSv1.2","162","Server Hello"
"59","2021-03-30 09:40:32.109595","99.80.34.167","192.168.0.101","TCP","1434","443  >  42636 [ACK] Seq=97 Ack=231 Win=29952 Len=1368 TSval=244398081 TSecr=806784448 [TCP segment of a reassembled PDU]"
"60","2021-03-30 09:40:32.109597","192.168.0.101","99.80.34.167","TCP","66","42636  >  443 [ACK] Seq=231 Ack=97 Win=65280 Len=0 TSval=806784469 TSecr=244398081"
"61","2021-03-30 09:40:32.109819","99.80.34.167","192.168.0.101","TCP","1434","443  >  42636 [ACK] Seq=1465 Ack=231 Win=29952 Len=1368 TSval=244398081 TSecr=806784448 [TCP segment of a reassembled PDU]"
"62","2021-03-30 09:40:32.110047","99.80.34.167","192.168.0.101","TCP","1434","443  >  42636 [ACK] Seq=2833 Ack=231 Win=29952 Len=1368 TSval=244398081 TSecr=806784448 [TCP segment of a reassembled PDU]"
"63","2021-03-30 09:40:32.110087","99.80.34.167","192.168.0.101","TLSv1.2","865","Certificate"
"64","2021-03-30 09:40:32.110260","99.80.34.167","192.168.0.101","TLSv1.2","404","Server Key Exchange"
"65","2021-03-30 09:40:32.110262","99.80.34.167","192.168.0.101","TLSv1.2","75","Server Hello Done"
"66","2021-03-30 09:40:32.111033","192.168.0.101","99.80.34.167","TCP","66","42636  >  443 [ACK] Seq=231 Ack=1465 Win=64128 Len=0 TSval=806784471 TSecr=244398081"
"67","2021-03-30 09:40:32.112177","192.168.0.101","99.80.34.167","TCP","66","42636  >  443 [ACK] Seq=231 Ack=2833 Win=63680 Len=0 TSval=806784472 TSecr=244398081"
"68","2021-03-30 09:40:32.113338","192.168.0.101","99.80.34.167","TCP","66","42636  >  443 [ACK] Seq=231 Ack=4201 Win=62784 Len=0 TSval=806784473 TSecr=244398081"
