"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2021-06-30 10:43:33.122955","192.168.0.100","34.243.56.134","TCP","66","44420  >  443 [ACK] Seq=1 Ack=1 Win=6312 Len=0 TSval=2092448183 TSecr=1601400724"
"2","2021-06-30 10:43:33.143358","34.243.56.134","192.168.0.100","TCP","66","[TCP ACKed unseen segment] 443  >  44420 [ACK] Seq=1 Ack=2 Win=425 Len=0 TSval=1601415765 TSecr=2092433163"
"3","2021-06-30 10:43:43.106997","192.168.0.100","34.246.111.38","TCP","66","57970  >  443 [ACK] Seq=1 Ack=1 Win=1002 Len=0 TSval=1866958695 TSecr=2799825907"
"4","2021-06-30 10:43:43.125833","34.246.111.38","192.168.0.100","TCP","66","[TCP ACKed unseen segment] 443  >  57970 [ACK] Seq=1 Ack=2 Win=120 Len=0 TSval=2799841010 TSecr=1866928512"
"5","2021-06-30 10:43:47.901435","192.168.0.100","34.246.111.38","TLSv1.2","97","[TCP Previous segment not captured] , Application Data"
"6","2021-06-30 10:43:47.921016","34.246.111.38","192.168.0.100","TLSv1.2","97","[TCP ACKed unseen segment] , Application Data"
"7","2021-06-30 10:43:47.921451","192.168.0.100","34.246.111.38","TCP","66","57970  >  443 [ACK] Seq=33 Ack=32 Win=1002 Len=0 TSval=1866963509 TSecr=2799845805"
"8","2021-06-30 10:43:48.227227","192.168.0.100","34.243.56.134","TCP","66","[TCP Dup ACK 1#1] 44420  >  443 [ACK] Seq=1 Ack=1 Win=6312 Len=0 TSval=2092463288 TSecr=1601415765"
"9","2021-06-30 10:43:48.247650","34.243.56.134","192.168.0.100","TCP","66","[TCP Dup ACK 2#1] 443  >  44420 [ACK] Seq=1 Ack=2 Win=425 Len=0 TSval=1601430869 TSecr=2092433163"
"10","2021-06-30 10:43:53.082246","192.168.0.100","34.243.56.134","TLSv1.2","97","[TCP Previous segment not captured] , Application Data"
"11","2021-06-30 10:43:53.103152","34.243.56.134","192.168.0.100","TLSv1.2","97","[TCP ACKed unseen segment] , Application Data"
"12","2021-06-30 10:43:53.103584","192.168.0.100","34.243.56.134","TCP","66","44420  >  443 [ACK] Seq=33 Ack=32 Win=6312 Len=0 TSval=2092468164 TSecr=1601435725"
"13","2021-06-30 10:44:03.075093","192.168.0.100","34.246.111.38","TCP","66","[TCP Keep-Alive] 57970  >  443 [ACK] Seq=32 Ack=32 Win=1002 Len=0 TSval=1866978663 TSecr=2799845805"
"14","2021-06-30 10:44:03.094502","34.246.111.38","192.168.0.100","TCP","66","[TCP Keep-Alive ACK] 443  >  57970 [ACK] Seq=32 Ack=33 Win=120 Len=0 TSval=2799860978 TSecr=1866963509"
"15","2021-06-30 10:44:08.195246","192.168.0.100","34.243.56.134","TCP","66","[TCP Keep-Alive] 44420  >  443 [ACK] Seq=32 Ack=32 Win=6312 Len=0 TSval=2092483256 TSecr=1601435725"
"16","2021-06-30 10:44:08.217491","34.243.56.134","192.168.0.100","TCP","66","[TCP Keep-Alive ACK] 443  >  44420 [ACK] Seq=32 Ack=33 Win=425 Len=0 TSval=1601450837 TSecr=2092468164"
"17","2021-06-30 10:44:18.179353","192.168.0.100","34.246.111.38","TCP","66","[TCP Keep-Alive] 57970  >  443 [ACK] Seq=32 Ack=32 Win=1002 Len=0 TSval=1866993767 TSecr=2799860978"
"18","2021-06-30 10:44:18.198283","34.246.111.38","192.168.0.100","TCP","66","[TCP Keep-Alive ACK] 443  >  57970 [ACK] Seq=32 Ack=33 Win=120 Len=0 TSval=2799876082 TSecr=1866963509"
"19","2021-06-30 10:44:22.901651","192.168.0.100","34.246.111.38","TLSv1.2","97","Application Data"
