"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2021-04-01 15:57:36.274900","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=1 Ack=1 Win=8292 Len=0 TSval=3476339194 TSecr=4291321062"
"2","2021-04-01 15:57:36.294572","52.210.184.200","192.168.0.101","TCP","66","[TCP ACKed unseen segment] 443  >  58088 [ACK] Seq=1 Ack=2 Win=425 Len=0 TSval=4291336166 TSecr=3476309081"
"3","2021-04-01 15:57:37.042842","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=1 Ack=1 Win=1002 Len=0 TSval=2196897420 TSecr=1110214675"
"4","2021-04-01 15:57:37.064247","34.240.107.124","192.168.0.101","TCP","66","[TCP ACKed unseen segment] 443  >  49730 [ACK] Seq=1 Ack=2 Win=120 Len=0 TSval=1110229779 TSecr=2196867206"
"5","2021-04-01 15:57:41.151211","192.168.0.101","52.210.184.200","TLSv1.2","97","[TCP Previous segment not captured] , Application Data"
"6","2021-04-01 15:57:41.171579","52.210.184.200","192.168.0.101","TLSv1.2","97","[TCP ACKed unseen segment] , Application Data"
"7","2021-04-01 15:57:41.172163","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=33 Ack=32 Win=8292 Len=0 TSval=3476344091 TSecr=4291341044"
"8","2021-04-01 15:57:41.807021","192.168.0.101","34.240.107.124","TLSv1.2","97","[TCP Previous segment not captured] , Application Data"
"9","2021-04-01 15:57:41.828810","34.240.107.124","192.168.0.101","TLSv1.2","97","[TCP ACKed unseen segment] , Application Data"
"10","2021-04-01 15:57:41.829263","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=33 Ack=32 Win=1002 Len=0 TSval=2196902207 TSecr=1110234544"
"11","2021-04-01 15:57:56.242820","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=32 Ack=32 Win=8292 Len=0 TSval=3476359162 TSecr=4291341044"
"12","2021-04-01 15:57:56.262271","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=32 Ack=33 Win=425 Len=0 TSval=4291356135 TSecr=3476344091"
"13","2021-04-01 15:57:57.010817","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=32 Ack=32 Win=1002 Len=0 TSval=2196917388 TSecr=1110234544"
"14","2021-04-01 15:57:57.033043","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=32 Ack=33 Win=120 Len=0 TSval=1110249748 TSecr=2196902207"
"15","2021-04-01 15:58:11.346724","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=32 Ack=32 Win=8292 Len=0 TSval=3476374267 TSecr=4291356135"
"16","2021-04-01 15:58:11.366221","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=32 Ack=33 Win=425 Len=0 TSval=4291371239 TSecr=3476344091"
"17","2021-04-01 15:58:12.114817","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=32 Ack=32 Win=1002 Len=0 TSval=2196932493 TSecr=1110249748"
"18","2021-04-01 15:58:12.136514","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=32 Ack=33 Win=120 Len=0 TSval=1110264852 TSecr=2196902207"
"19","2021-04-01 15:58:16.141825","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"20","2021-04-01 15:58:16.162103","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
