"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2021-07-01 14:26:34.937472","192.168.0.102","34.250.197.2","TCP","66","40452  >  443 [ACK] Seq=1 Ack=1 Win=1002 Len=0 TSval=3638323901 TSecr=4190613938"
"2","2021-07-01 14:26:34.955825","34.250.197.2","192.168.0.102","TCP","66","[TCP ACKed unseen segment] 443  >  40452 [ACK] Seq=1 Ack=2 Win=120 Len=0 TSval=4190629140 TSecr=3638308717"
"3","2021-07-01 14:26:44.665360","192.168.0.102","54.194.172.28","TCP","66","47678  >  443 [ACK] Seq=1 Ack=1 Win=1002 Len=0 TSval=3620353688 TSecr=2039152465"
"4","2021-07-01 14:26:44.665411","192.168.0.102","34.248.64.119","TCP","66","42808  >  443 [ACK] Seq=1 Ack=1 Win=1002 Len=0 TSval=3044467666 TSecr=1878623156"
"5","2021-07-01 14:26:44.665541","192.168.0.102","54.194.172.28","TCP","66","47670  >  443 [ACK] Seq=1 Ack=1 Win=1002 Len=0 TSval=3620353688 TSecr=2039167762"
"6","2021-07-01 14:26:44.683980","54.194.172.28","192.168.0.102","TCP","66","[TCP ACKed unseen segment] 443  >  47678 [ACK] Seq=1 Ack=2 Win=150 Len=0 TSval=2039182866 TSecr=3620323306"
"7","2021-07-01 14:26:44.684324","34.248.64.119","192.168.0.102","TCP","66","[TCP ACKed unseen segment] 443  >  42808 [ACK] Seq=1 Ack=2 Win=140 Len=0 TSval=1878653551 TSecr=3044437331"
"8","2021-07-01 14:26:44.684580","54.194.172.28","192.168.0.102","TCP","66","[TCP ACKed unseen segment] 443  >  47670 [ACK] Seq=1 Ack=2 Win=120 Len=0 TSval=2039182866 TSecr=3620323374"
"9","2021-07-01 14:26:44.975697","192.168.0.102","54.194.172.28","TLSv1.2","97","[TCP Previous segment not captured] , Application Data"
"10","2021-07-01 14:26:44.995419","54.194.172.28","192.168.0.102","TCP","66","[TCP ACKed unseen segment] 443  >  47670 [ACK] Seq=1 Ack=33 Win=120 Len=0 TSval=2039183177 TSecr=3620353998"
"11","2021-07-01 14:26:44.996434","54.194.172.28","192.168.0.102","TLSv1.2","97","Application Data"
"12","2021-07-01 14:26:45.037580","192.168.0.102","54.194.172.28","TCP","66","47670  >  443 [ACK] Seq=33 Ack=32 Win=1002 Len=0 TSval=3620354060 TSecr=2039183178"
"13","2021-07-01 14:26:50.041383","192.168.0.102","34.250.197.2","TCP","66","[TCP Dup ACK 1#1] 40452  >  443 [ACK] Seq=1 Ack=1 Win=1002 Len=0 TSval=3638339005 TSecr=4190629140"
"14","2021-07-01 14:26:50.060179","34.250.197.2","192.168.0.102","TCP","66","[TCP Dup ACK 2#1] 443  >  40452 [ACK] Seq=1 Ack=2 Win=120 Len=0 TSval=4190644245 TSecr=3638308717"
