No.,Time,Source,Destination,Protocol,Length,Sequence Number,Info
2,0.019271,52.31.1.61,192.168.0.104,TLSv1.2,97,1,Application Data
7,4.863911,3.248.98.180,192.168.0.104,TLSv1.2,97,1,Application Data
24,35.019197,52.31.1.61,192.168.0.104,TLSv1.2,97,32,Application Data
28,35.804761,192.168.0.1,192.168.0.104,DNS,162,,Standard query response 0x4543 A c3t5k8kx91jab4.credentials.iot.eu-west-1.amazonaws.com A 52.50.177.191 A 34.255.239.242 A 52.49.47.124
30,35.830033,52.50.177.191,192.168.0.104,TCP,74,0,"443  >  47706 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1452 SACK_PERM=1 TSval=3352490025 TSecr=3542724105 WS=256"
34,35.92196,52.50.177.191,192.168.0.104,TCP,66,1,443  >  47706 [ACK] Seq=1 Ack=455 Win=28160 Len=0 TSval=3352490113 TSecr=3542724193
35,35.92553,52.50.177.191,192.168.0.104,TCP,1506,1,443  >  47706 [ACK] Seq=1 Ack=455 Win=28160 Len=1440 TSval=3352490116 TSecr=3542724193 [TCP segment of a reassembled PDU]
36,35.925691,52.50.177.191,192.168.0.104,TCP,1506,1441,443  >  47706 [ACK] Seq=1441 Ack=455 Win=28160 Len=1440 TSval=3352490116 TSecr=3542724193 [TCP segment of a reassembled PDU]
37,35.925943,52.50.177.191,192.168.0.104,TCP,1506,2881,443  >  47706 [ACK] Seq=2881 Ack=455 Win=28160 Len=1440 TSval=3352490116 TSecr=3542724193 [TCP segment of a reassembled PDU]
38,35.926018,52.50.177.191,192.168.0.104,TLSv1.2,1198,4321,"Server Hello, Certificate, Server Key Exchange, Certificate Request, Server Hello Done"
46,36.012856,52.50.177.191,192.168.0.104,TCP,66,5453,443  >  47706 [ACK] Seq=5453 Ack=1423 Win=29952 Len=0 TSval=3352490209 TSecr=3542724256
51,36.121984,52.50.177.191,192.168.0.104,TCP,66,5453,443  >  47706 [ACK] Seq=5453 Ack=1698 Win=31744 Len=0 TSval=3352490317 TSecr=3542724395
52,36.126018,52.50.177.191,192.168.0.104,TLSv1.2,117,5453,"Change Cipher Spec, Encrypted Handshake Message"
56,36.207942,52.50.177.191,192.168.0.104,TLSv1.2,1502,5504,Application Data
57,36.207945,52.50.177.191,192.168.0.104,TLSv1.2,97,6940,Encrypted Alert
58,36.207948,52.50.177.191,192.168.0.104,TCP,66,6971,"443  >  47706 [FIN, ACK] Seq=6971 Ack=2008 Win=33280 Len=0 TSval=3352490389 TSecr=3542724434"
64,36.265205,52.50.177.191,192.168.0.104,TCP,66,6972,443  >  47706 [ACK] Seq=6972 Ack=2040 Win=33280 Len=0 TSval=3352490438 TSecr=3542724517
68,36.313157,192.168.0.1,192.168.0.104,DNS,93,,Standard query response 0xd16b A sts.amazonaws.com A 209.54.180.124
71,36.42325,209.54.180.124,192.168.0.104,TCP,66,0,"443  >  38520 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1440 WS=64 SACK_PERM=1"
75,36.551793,209.54.180.124,192.168.0.104,TCP,60,1,[TCP Window Update] 443  >  38520 [ACK] Seq=1 Ack=1 Win=27136 Len=0
76,36.592433,209.54.180.124,192.168.0.104,TCP,60,1,443  >  38520 [ACK] Seq=1 Ack=418 Win=28160 Len=0
77,36.592455,209.54.180.124,192.168.0.104,TLSv1.2,154,1,Server Hello
78,36.592967,209.54.180.124,192.168.0.104,TCP,1494,101,443  >  38520 [ACK] Seq=101 Ack=418 Win=28160 Len=1440 [TCP segment of a reassembled PDU]
79,36.59321,209.54.180.124,192.168.0.104,TCP,1494,1541,443  >  38520 [ACK] Seq=1541 Ack=418 Win=28160 Len=1440 [TCP segment of a reassembled PDU]
81,36.59344,209.54.180.124,192.168.0.104,TCP,1494,2981,443  >  38520 [ACK] Seq=2981 Ack=418 Win=28160 Len=1440 [TCP segment of a reassembled PDU]
82,36.593452,209.54.180.124,192.168.0.104,TLSv1.2,711,4421,Certificate
83,36.594132,209.54.180.124,192.168.0.104,TLSv1.2,392,5078,Server Key Exchange
84,36.594133,209.54.180.124,192.168.0.104,TLSv1.2,63,5416,Server Hello Done
92,36.627592,209.54.180.124,192.168.0.104,TCP,63,5416,"[TCP Spurious Retransmission] 443  >  38520 [PSH, ACK] Seq=5416 Ack=418 Win=28160 Len=9"
98,36.772497,209.54.180.124,192.168.0.104,TCP,60,5425,443  >  38520 [ACK] Seq=5425 Ack=493 Win=28160 Len=0
100,36.834018,209.54.180.124,192.168.0.104,TCP,60,5425,443  >  38520 [ACK] Seq=5425 Ack=499 Win=28160 Len=0
101,36.836475,209.54.180.124,192.168.0.104,TCP,60,5425,443  >  38520 [ACK] Seq=5425 Ack=544 Win=28160 Len=0
102,36.836514,209.54.180.124,192.168.0.104,TLSv1.2,60,5425,Change Cipher Spec
103,36.836518,209.54.180.124,192.168.0.104,TLSv1.2,99,5431,Encrypted Handshake Message
109,36.96529,209.54.180.124,192.168.0.104,TCP,60,5476,443  >  38520 [ACK] Seq=5476 Ack=2600 Win=33792 Len=0
110,36.980088,209.54.180.124,192.168.0.104,TLSv1.2,288,5476,Application Data
111,36.980514,209.54.180.124,192.168.0.104,TLSv1.2,1296,5710,Application Data
116,37.065691,192.168.0.1,192.168.0.104,DNS,107,,Standard query response 0x0e1d A kinesis.eu-west-1.amazonaws.com A 99.80.34.168
118,37.091374,99.80.34.168,192.168.0.104,TCP,74,0,"443  >  52744 [SYN, ACK] Seq=0 Ack=1 Win=64800 Len=0 MSS=1452 SACK_PERM=1 TSval=614415616 TSecr=3128460121 WS=128"
121,37.188164,99.80.34.168,192.168.0.104,TCP,66,1,443  >  52744 [ACK] Seq=1 Ack=432 Win=64384 Len=0 TSval=614415709 TSecr=3128460215
122,37.189278,99.80.34.168,192.168.0.104,TLSv1.2,166,1,Server Hello
123,37.189615,99.80.34.168,192.168.0.104,TCP,1506,101,443  >  52744 [ACK] Seq=101 Ack=432 Win=64384 Len=1440 TSval=614415709 TSecr=3128460215 [TCP segment of a reassembled PDU]
124,37.189748,99.80.34.168,192.168.0.104,TCP,1506,1541,"443  >  52744 [PSH, ACK] Seq=1541 Ack=432 Win=64384 Len=1440 TSval=614415709 TSecr=3128460215 [TCP segment of a reassembled PDU]"
